generation,error,triangles
0,42.9367,1
1,40.4738,5
2,33.0008,6
3,24.2816,5
4,20.7145,9
5,18.3765,11
6,15.9498,12
7,15.5285,14
8,14.1404,17
9,13.0347,15
10,12.6836,17
11,12.2801,18
12,10.6952,21
13,10.4560,25
14,10.1721,25
15,10.1481,26
16,10.1481,26
17,9.2037,25
18,9.1991,25
19,9.1991,25
20,9.1466,28
21,8.3989,36
22,8.3989,36
23,8.1196,36
24,7.8557,36
25,7.4421,32
26,7.4421,32
27,7.3256,32
28,7.2731,48
29,6.9931,44
30,6.8495,46
31,6.8495,46
32,6.8017,46
33,6.7207,45
34,6.6597,49
35,6.6597,49
36,6.6597,49
37,6.3580,40
38,6.3580,40
39,6.3403,54
40,6.3403,54
41,6.3403,54
42,6.3403,54
43,6.1528,58
44,6.1528,58
45,6.0965,58
46,6.0965,58
47,6.0965,58
48,6.0880,58
49,6.0748,58
50,6.0748,58
51,6.0702,58
52,6.0702,58
53,6.0702,58
54,6.0702,58
55,6.0702,58
56,6.0633,74
57,5.8449,72
58,5.8449,72
59,5.8449,72
60,5.8449,72
61,5.8449,72
62,5.8449,72
63,5.8449,72
64,5.8449,72
65,5.7276,68
66,5.6844,75
67,5.6844,75
68,5.6844,75
69,5.6620,80
70,5.6620,80
71,5.6620,80
72,5.6620,80
73,5.6620,80
74,5.6381,74
75,5.6381,74
76,5.6381,74
77,5.6381,74
78,5.6381,74
79,5.6381,74
80,5.6304,66
81,5.6258,73
82,5.6258,73
83,5.6165,74
84,5.6165,74
85,5.5363,81
86,5.5170,81
87,5.4915,74
88,5.4915,74
89,5.4915,74
90,5.4915,74
91,5.4915,74
92,5.4915,74
93,5.3426,69
94,5.3426,69
95,5.3426,69
96,5.3426,69
97,5.3426,69
98,5.3426,69
99,5.3426,69
100,5.3426,69
101,5.3318,81
102,5.3318,81
103,5.3318,81
104,5.3318,81
105,5.3318,81
106,5.3210,81
107,5.3210,81
108,5.3210,81
109,5.3210,81
110,5.3210,81
111,5.3210,81
112,5.3210,81
113,5.3110,81
114,5.3110,81
115,5.3110,81
116,5.2762,81
117,5.2762,81
118,5.2762,81
119,5.2762,81
120,5.2762,81
121,5.2762,81
122,5.2762,81
123,5.2747,81
124,5.1929,81
125,5.1929,81
126,5.1929,81
127,5.1929,81
128,5.1906,81
129,5.1906,81
130,5.0764,81
131,5.0764,81
132,4.9830,81
133,4.9830,81
134,4.9830,81
135,4.9830,81
136,4.9830,81
137,4.9830,81
138,4.9830,81
139,4.9830,81
140,4.8920,81
141,4.8920,81
142,4.8920,81
143,4.8920,81
144,4.8920,81
145,4.8920,81
146,4.8920,81
147,4.8920,81
148,4.8912,81
149,4.8912,81
150,4.8403,81
151,4.8403,81
152,4.8403,81
153,4.8349,81
154,4.8349,81
155,4.8310,80
156,4.8310,80
157,4.8310,80
158,4.8310,80
159,4.8310,80
160,4.8310,80
161,4.8310,80
162,4.8310,80
163,4.8310,80
164,4.7809,81
165,4.7685,81
166,4.7685,81
167,4.7685,81
168,4.7685,81
169,4.7685,81
170,4.7685,81
171,4.7685,81
172,4.7685,81
173,4.7608,79
174,4.7608,79
175,4.7608,79
176,4.7554,79
177,4.7554,79
178,4.7554,79
179,4.7469,80
180,4.7469,80
181,4.7384,81
182,4.7384,81
183,4.7346,81
184,4.7346,81
185,4.6821,68
186,4.6821,68
187,4.6821,68
188,4.6821,68
189,4.6821,68
190,4.6821,68
191,4.6821,68
192,4.6821,68
193,4.6242,81
194,4.6242,81
195,4.6242,81
196,4.6242,81
197,4.6242,81
198,4.6242,81
199,4.6242,81
200,4.6242,81
201,4.6196,75
202,4.6196,75
203,4.6134,75
204,4.6088,77
205,4.6088,77
206,4.5571,80
207,4.5386,73
208,4.4290,81
209,4.4290,81
210,4.4290,81
211,4.3549,81
212,4.3549,81
213,4.3549,81
214,4.3086,81
215,4.3086,81
216,4.3086,81
217,4.2870,76
218,4.2870,76
219,4.2870,76
220,4.2870,76
221,4.2870,76
222,4.2793,76
223,4.2191,73
224,4.1952,73
225,4.1952,73
226,4.1952,73
227,4.1952,73
228,4.1497,77
229,4.1497,77
230,4.1497,77
231,4.1497,77
232,4.1497,77
233,4.1497,77
234,4.0895,78
235,4.0895,78
236,4.0895,78
237,4.0895,78
238,4.0895,78
239,4.0895,78
240,4.0895,78
241,4.0625,81
242,4.0509,81
243,4.0509,81
244,4.0509,81
245,4.0478,81
246,4.0478,81
247,4.0478,81
248,4.0108,72
249,4.0108,72
250,4.0108,72
251,4.0077,72
252,4.0077,72
253,4.0077,72
254,4.0077,72
255,4.0077,72
256,3.9884,72
257,3.9884,72
258,3.9884,72
259,3.9884,72
260,3.9884,72
261,3.7369,79
262,3.7369,79
263,3.7369,79
264,3.7369,79
265,3.7369,79
266,3.7369,79
267,3.7369,79
268,3.7369,79
269,3.7369,79
270,3.7369,79
271,3.7369,79
272,3.7369,79
273,3.7369,79
274,3.7369,79
275,3.7369,79
276,3.7369,79
277,3.7369,79
278,3.7369,79
279,3.7369,79
280,3.7369,79
281,3.7369,79
282,3.7369,79
283,3.7369,79
284,3.7369,79
285,3.7369,79
286,3.7369,79
287,3.7369,79
288,3.7369,79
289,3.7369,79
290,3.7369,79
291,3.7369,79
292,3.7369,79
293,3.7369,79
294,3.7369,79
295,3.7369,79
296,3.7369,79
297,3.7369,79
298,3.7369,79
299,3.7369,79
300,3.7369,79
301,3.7369,79
302,3.7369,79
303,3.7369,79
304,3.7369,79
305,3.7369,79
306,3.7369,79
307,3.7369,79
308,3.7369,79
309,3.7369,79
310,3.7369,79
311,3.7369,79
312,3.7369,79
313,3.7191,79
314,3.7191,79
315,3.7191,79
316,3.7191,79
317,3.7191,79
318,3.7191,79
319,3.7191,79
320,3.7191,79
321,3.7191,79
322,3.7191,79
323,3.7191,79
324,3.7191,79
325,3.7191,79
326,3.7191,79
327,3.7191,79
328,3.7191,79
329,3.7191,79
330,3.7191,79
331,3.7191,79
332,3.7191,79
333,3.7191,79
334,3.7191,79
335,3.7191,79
336,3.7191,79
337,3.7191,79
338,3.7191,79
339,3.7191,79
340,3.7191,79
341,3.6944,78
342,3.6944,78
343,3.6890,78
344,3.6890,78
345,3.6890,78
346,3.6890,78
347,3.6890,78
348,3.6890,78
349,3.6890,78
350,3.6890,78
351,3.6890,78
352,3.6890,78
353,3.6752,78
354,3.6752,78
355,3.6752,78
356,3.6752,78
357,3.6752,78
358,3.6752,78
359,3.6752,78
360,3.6752,78
361,3.6752,78
362,3.6752,78
363,3.6752,78
364,3.6752,78
365,3.6752,78
366,3.6752,78
367,3.6752,78
368,3.6651,81
369,3.6651,81
370,3.5864,75
371,3.5864,75
372,3.5864,75
373,3.5864,75
374,3.5864,75
375,3.5864,75
376,3.5864,75
377,3.5864,75
378,3.5864,75
379,3.5864,75
380,3.5864,75
381,3.5864,75
382,3.5864,75
383,3.5864,75
384,3.5864,75
385,3.5864,75
386,3.5864,75
387,3.5864,75
388,3.5216,78
389,3.5216,78
390,3.5216,78
391,3.5216,78
392,3.5216,78
393,3.5216,78
394,3.5216,78
395,3.5216,78
396,3.5216,78
397,3.5216,78
398,3.5216,78
399,3.5216,78
400,3.5216,78
401,3.5216,78
402,3.5216,78
403,3.5185,78
404,3.5185,78
405,3.5185,78
406,3.5185,78
407,3.5185,78
408,3.5185,78
409,3.5185,78
410,3.5185,78
411,3.5185,78
412,3.5185,78
413,3.5185,78
414,3.5185,78
415,3.5185,78
416,3.5185,78
417,3.5147,78
418,3.5147,78
419,3.5147,78
420,3.5147,78
421,3.5147,78
422,3.5147,78
423,3.5147,78
424,3.5147,78
425,3.5147,78
426,3.5147,78
427,3.5147,78
428,3.5147,78
429,3.5147,78
430,3.5147,78
431,3.5147,78
432,3.5147,78
433,3.5147,78
434,3.5147,78
435,3.5147,78
436,3.5147,78
437,3.5147,78
438,3.5147,78
439,3.5147,78
440,3.5147,78
441,3.5147,78
442,3.5147,78
443,3.5147,78
444,3.5147,78
445,3.5147,78
446,3.5147,78
447,3.5147,78
448,3.5147,78
449,3.5093,80
450,3.5093,80
451,3.5093,80
452,3.5093,80
453,3.5093,80
454,3.5093,80
455,3.5093,80
456,3.5093,80
457,3.5093,80
458,3.5093,80
459,3.5039,79
460,3.5039,79
461,3.5039,79
462,3.5039,79
463,3.5039,79
464,3.5039,79
465,3.5039,79
466,3.5039,79
467,3.4992,74
468,3.4745,68
469,3.4745,68
470,3.4745,68
471,3.4745,68
472,3.4745,68
473,3.4745,68
474,3.4745,68
475,3.4745,68
476,3.4745,68
477,3.4236,72
478,3.4190,72
479,3.4190,72
480,3.4144,72
481,3.4144,72
482,3.4020,75
483,3.4012,75
484,3.3850,81
485,3.3627,81
486,3.3627,81
487,3.3519,81
488,3.3519,81
489,3.3519,81
490,3.3519,81
491,3.3519,81
492,3.3519,81
493,3.2230,77
494,3.2230,77
495,3.2230,77
496,3.2230,77
497,3.2230,77
498,3.2230,77
499,3.2230,77
500,3.2230,77
501,3.2114,77
502,3.2114,77
503,3.2114,77
504,3.2114,77
505,3.2114,77
506,3.2114,77
507,3.2114,77
508,3.2114,77
509,3.1960,76
510,3.1960,76
511,3.1960,76
512,3.1960,76
513,3.1960,76
514,3.1960,76
515,3.1960,76
516,3.1914,76
517,3.1914,76
518,3.1914,76
519,3.1914,76
520,3.1914,76
521,3.1914,76
522,3.1914,76
523,3.1914,76
524,3.1914,76
525,3.1914,76
526,3.1914,76
527,3.1914,76
528,3.1914,76
529,3.1914,76
530,3.1914,76
531,3.1914,76
532,3.1914,76
533,3.1914,76
534,3.1914,76
535,3.1914,76
536,3.1914,76
537,3.1914,76
538,3.1914,76
539,3.1705,76
540,3.1705,76
541,3.1705,76
542,3.1705,76
543,3.1705,76
544,3.1705,76
545,3.1705,76
546,3.1705,76
547,3.1705,76
548,3.1705,76
549,3.1705,76
550,3.1705,76
551,3.1705,76
552,3.1705,76
553,3.1705,76
554,3.1705,76
555,3.1705,76
556,3.1705,76
557,3.1682,76
558,3.1682,76
559,3.1682,76
560,3.1682,76
561,3.1682,76
562,3.1682,76
563,3.1682,76
564,3.1682,76
565,3.1605,75
566,3.1605,75
567,3.1605,75
568,3.1605,75
569,3.1605,75
570,3.1605,75
571,3.1605,75
572,3.1605,75
573,3.1605,75
574,3.1605,75
575,3.1605,75
576,3.1605,75
577,3.1605,75
578,3.1605,75
579,3.1605,75
580,3.1605,75
581,3.1605,75
582,3.1605,75
583,3.1605,75
584,3.1597,75
585,3.1597,75
586,3.1597,75
587,3.1597,75
588,3.1597,75
589,3.1597,75
590,3.1597,75
591,3.1597,75
592,3.1597,75
593,3.1597,75
594,3.1597,75
595,3.1597,75
596,3.1597,75
597,3.1597,75
598,3.1597,75
599,3.1597,75
600,3.1597,75
601,3.1597,75
602,3.1597,75
603,3.1597,75
604,3.1597,75
605,3.1597,75
606,3.1597,75
607,3.1597,75
608,3.1597,75
609,3.1597,75
610,3.1597,75
611,3.1597,75
612,3.1597,75
613,3.1597,75
614,3.1597,75
615,3.1597,75
616,3.1597,75
617,3.1597,75
618,3.1597,75
619,3.1597,75
620,3.1597,75
621,3.1304,81
622,3.1304,81
623,3.1304,81
624,3.1304,81
625,3.1289,81
626,3.1289,81
627,3.1289,81
628,3.1289,81
629,3.1289,81
630,3.1188,81
631,3.1165,81
632,3.1150,81
633,3.1150,81
634,3.1150,81
635,3.1150,81
636,3.1150,81
637,3.1150,81
638,3.1150,81
639,3.1150,81
640,3.1150,81
641,3.1150,81
642,3.1150,81
643,3.1150,81
644,3.1150,81
645,3.1150,81
646,3.1150,81
647,3.1150,81
648,3.1150,81
649,3.1150,81
650,3.1150,81
651,3.1150,81
652,3.1150,81
653,3.1150,81
654,3.1150,81
655,3.1150,81
656,3.1150,81
657,3.1150,81
658,3.1134,81
659,3.1080,81
660,3.1080,81
661,3.1080,81
662,3.1080,81
663,3.1080,81
664,3.1080,81
665,3.1080,81
666,3.1080,81
667,3.1080,81
668,3.1080,81
669,3.1080,81
670,3.1080,81
671,3.1003,81
672,3.1003,81
673,3.1003,81
674,3.0941,81
675,3.0941,81
676,3.0941,81
677,3.0941,81
678,3.0880,81
679,3.0880,81
680,3.0880,81
681,3.0880,81
682,3.0880,81
683,3.0880,81
684,3.0880,81
685,3.0764,81
686,3.0764,81
687,3.0764,81
688,3.0764,81
689,3.0764,81
690,3.0764,81
691,3.0764,81
692,3.0764,81
693,3.0764,81
694,3.0764,81
