generation,error,triangles
0,38.9205,1
1,30.5849,2
2,25.0448,3
3,20.0247,7
4,17.4877,7
5,15.0556,10
6,13.5648,9
7,12.7330,13
8,12.7330,13
9,11.9506,18
10,11.1181,13
11,10.7585,18
12,10.6644,20
13,10.2623,18
14,9.8179,18
15,8.7832,20
16,8.7832,20
17,8.7770,20
18,8.7770,20
19,8.2855,17
20,8.1590,17
21,8.1111,20
22,7.7168,15
23,7.7168,15
24,7.2778,20
25,7.2778,20
26,7.2778,20
27,7.0826,19
28,7.0826,19
29,7.0826,19
30,6.9861,20
31,6.9290,20
32,6.8542,20
33,6.7901,20
34,6.7793,20
35,6.7431,20
36,6.6512,20
37,6.5008,19
38,6.5008,19
39,6.5008,19
40,6.3989,20
41,6.3681,20
42,6.3657,20
43,6.3657,20
44,6.3657,20
45,6.3657,20
46,6.3657,20
47,6.3657,20
48,6.3634,20
49,6.1728,20
50,6.1728,20
51,6.1728,20
52,6.1728,20
53,6.1728,20
54,6.1728,20
55,6.1728,20
56,5.9877,20
57,5.8719,17
58,5.8719,17
59,5.8719,17
60,5.8719,17
61,5.6196,15
62,5.6196,15
63,5.5031,20
64,5.5031,20
65,5.5031,20
66,5.5031,20
67,5.5031,20
68,5.5031,20
69,5.5031,20
70,5.5031,20
71,5.5031,20
72,5.5031,20
73,5.5031,20
74,5.5031,20
75,5.5031,20
76,5.5031,20
77,5.5000,20
78,5.5000,20
79,5.5000,20
80,5.4437,20
81,5.4437,20
82,5.4437,20
83,5.4437,20
84,5.4437,20
85,5.4437,20
86,5.4437,20
87,5.4437,20
88,5.4437,20
89,5.4421,20
90,5.4244,19
91,5.4244,19
92,5.4244,19
93,5.4244,19
94,5.4244,19
95,5.4059,20
96,5.3920,20
97,5.3850,20
98,5.3850,20
99,5.3850,20
100,5.3850,20
101,5.3241,20
102,5.3241,20
103,5.3241,20
104,5.3241,20
105,5.3241,20
106,5.3241,20
107,5.3241,20
108,5.3241,20
109,5.3233,20
110,5.3233,20
111,5.3225,20
112,5.3225,20
113,5.3225,20
114,5.2423,20
115,5.2423,20
116,5.1644,17
117,5.1644,17
118,5.1644,17
119,5.1644,17
120,5.1644,17
121,5.1644,17
122,5.1644,17
123,5.1644,17
124,5.1644,17
125,5.1644,17
126,5.1644,17
127,5.1644,17
128,5.1644,17
129,5.1644,17
130,5.1644,17
131,5.1644,17
132,5.1644,17
133,5.1644,17
134,5.1644,17
135,5.1644,17
136,5.1304,20
137,5.1304,20
138,5.0409,20
139,5.0409,20
140,5.0409,20
141,5.0409,20
142,5.0409,20
143,5.0409,20
144,5.0409,20
145,5.0409,20
146,5.0409,20
147,5.0409,20
148,5.0409,20
149,5.0409,20
150,5.0394,20
151,5.0394,20
152,5.0394,20
153,5.0394,20
154,5.0394,20
155,5.0394,20
156,5.0394,20
157,5.0394,20
158,5.0394,20
159,5.0394,20
160,5.0093,20
161,5.0093,20
162,5.0093,20
163,5.0093,20
164,5.0093,20
165,5.0093,20
166,4.9915,20
167,4.9915,20
168,4.9444,20
169,4.9444,20
170,4.9444,20
171,4.9444,20
172,4.9444,20
173,4.9444,20
174,4.9429,20
175,4.9429,20
176,4.9429,20
177,4.9429,20
178,4.9012,20
179,4.9012,20
180,4.9012,20
181,4.9012,20
182,4.9012,20
183,4.9012,20
184,4.9012,20
185,4.9012,20
186,4.9012,20
187,4.9012,20
188,4.9012,20
189,4.9012,20
190,4.9012,20
191,4.9012,20
192,4.9012,20
193,4.9012,20
194,4.8719,19
195,4.8719,19
196,4.8704,19
197,4.8704,19
198,4.8696,19
199,4.8696,19
200,4.8696,19
201,4.8696,19
202,4.8696,19
203,4.8696,19
204,4.8696,19
205,4.8696,19
206,4.8696,19
207,4.8696,19
208,4.8696,19
209,4.8696,19
210,4.8696,19
211,4.7191,20
212,4.7191,20
213,4.7191,20
214,4.7153,20
215,4.7153,20
216,4.7153,20
217,4.7153,20
218,4.7153,20
219,4.7014,20
220,4.7014,20
221,4.7014,20
222,4.7014,20
223,4.6852,20
224,4.6736,20
225,4.6736,20
226,4.6736,20
227,4.6736,20
228,4.6736,20
229,4.6736,20
230,4.6736,20
231,4.6736,20
232,4.6736,20
233,4.6736,20
234,4.6520,20
235,4.6520,20
236,4.6520,20
237,4.6520,20
238,4.6520,20
239,4.6520,20
240,4.6520,20
241,4.6520,20
242,4.6520,20
243,4.6520,20
244,4.6520,20
245,4.6520,20
246,4.6520,20
247,4.6512,20
248,4.6512,20
249,4.6512,20
250,4.6512,20
251,4.6512,20
252,4.6512,20
253,4.6512,20
254,4.6512,20
255,4.6512,20
256,4.6512,20
257,4.6512,20
258,4.6512,20
259,4.6512,20
260,4.6512,20
261,4.6512,20
262,4.6512,20
263,4.6512,20
264,4.6512,20
265,4.6512,20
266,4.6512,20
267,4.6512,20
268,4.6512,20
269,4.6512,20
270,4.6512,20
271,4.6512,20
272,4.6289,20
273,4.6289,20
274,4.6289,20
275,4.6289,20
276,4.6289,20
277,4.6289,20
278,4.6289,20
279,4.6289,20
280,4.6289,20
281,4.6289,20
282,4.6289,20
283,4.6289,20
284,4.6289,20
285,4.6289,20
286,4.6289,20
287,4.6289,20
288,4.6289,20
289,4.6289,20
290,4.6289,20
291,4.6289,20
292,4.6289,20
293,4.6289,20
294,4.6289,20
295,4.6289,20
296,4.6289,20
297,4.6289,20
298,4.6289,20
299,4.6289,20
300,4.6289,20
301,4.6289,20
302,4.6289,20
303,4.6289,20
304,4.6289,20
305,4.6289,20
306,4.5934,20
307,4.5926,20
308,4.5926,20
309,4.5926,20
310,4.5926,20
311,4.5926,20
312,4.5926,20
313,4.5926,20
314,4.5926,20
315,4.5926,20
316,4.5926,20
317,4.5926,20
318,4.5926,20
319,4.5926,20
320,4.5926,20
321,4.5926,20
322,4.5926,20
323,4.5926,20
324,4.5926,20
325,4.5918,20
326,4.5918,20
327,4.5918,20
328,4.5918,20
329,4.5918,20
330,4.5918,20
331,4.5918,20
332,4.5918,20
333,4.5918,20
334,4.5918,20
335,4.5918,20
336,4.5918,20
337,4.5918,20
338,4.5918,20
339,4.5918,20
340,4.5918,20
341,4.5918,20
342,4.5918,20
343,4.5918,20
344,4.5918,20
345,4.5818,20
346,4.5818,20
347,4.5818,20
348,4.5818,20
349,4.5818,20
350,4.5818,20
351,4.5818,20
352,4.5818,20
353,4.5818,20
354,4.5818,20
355,4.5818,20
356,4.5802,20
357,4.5802,20
358,4.5802,20
359,4.5802,20
360,4.5802,20
361,4.5802,20
362,4.5802,20
363,4.5802,20
364,4.5802,20
365,4.5802,20
366,4.5802,20
367,4.5802,20
368,4.5802,20
369,4.5802,20
370,4.5802,20
371,4.5802,20
372,4.5748,20
373,4.5748,20
374,4.5748,20
375,4.5748,20
376,4.5748,20
377,4.5748,20
378,4.5748,20
379,4.5748,20
380,4.5748,20
381,4.5748,20
382,4.5748,20
383,4.5748,20
384,4.5748,20
385,4.5748,20
386,4.5748,20
387,4.5748,20
388,4.5748,20
389,4.5748,20
390,4.5748,20
391,4.5748,20
392,4.5748,20
393,4.5748,20
394,4.5748,20
395,4.5748,20
396,4.5748,20
397,4.5748,20
398,4.5748,20
399,4.5748,20
400,4.5748,20
401,4.5748,20
402,4.5748,20
403,4.5748,20
404,4.5748,20
405,4.5748,20
406,4.5748,20
407,4.5748,20
408,4.5748,20
409,4.5718,20
410,4.5718,20
411,4.5718,20
412,4.5718,20
413,4.5718,20
414,4.5718,20
415,4.5718,20
416,4.5718,20
417,4.5718,20
418,4.5718,20
419,4.5718,20
420,4.5718,20
421,4.5718,20
422,4.5718,20
423,4.5718,20
424,4.5718,20
425,4.5718,20
426,4.5718,20
427,4.5694,20
428,4.5694,20
429,4.5694,20
430,4.5694,20
431,4.5694,20
432,4.5694,20
433,4.5517,20
434,4.5517,20
435,4.5517,20
436,4.5401,17
437,4.5401,17
438,4.5401,17
439,4.5401,17
440,4.5401,17
441,4.5401,17
442,4.5401,17
443,4.5401,17
444,4.5401,17
445,4.5401,17
446,4.5401,17
447,4.5401,17
448,4.5401,17
449,4.5401,17
450,4.5401,17
451,4.5401,17
452,4.5401,17
453,4.5401,17
454,4.5401,17
455,4.5401,17
456,4.5401,17
457,4.5309,17
458,4.5309,17
459,4.5309,17
460,4.5309,17
461,4.5309,17
462,4.5309,17
463,4.5309,17
464,4.5309,17
465,4.5309,17
466,4.5309,17
467,4.5309,17
468,4.5309,17
469,4.5309,17
470,4.5239,18
471,4.5239,18
472,4.5239,18
473,4.5239,18
474,4.5239,18
475,4.5239,18
476,4.5239,18
477,4.5239,18
478,4.5239,18
479,4.5239,18
480,4.5123,20
481,4.5123,20
482,4.5123,20
483,4.5123,20
484,4.5123,20
485,4.5123,20
486,4.5093,20
487,4.5093,20
488,4.5093,20
489,4.5093,20
490,4.4606,20
491,4.4606,20
492,4.4606,20
493,4.4606,20
494,4.4606,20
495,4.4606,20
496,4.4606,20
497,4.4498,20
498,4.4498,20
499,4.4498,20
500,4.4498,20
501,4.4498,20
502,4.4498,20
503,4.4498,20
504,4.4498,20
505,4.4498,20
506,4.4498,20
507,4.4498,20
508,4.4498,20
509,4.4498,20
510,4.4498,20
511,4.4498,20
512,4.4498,20
513,4.4498,20
514,4.4498,20
515,4.4498,20
516,4.4444,20
517,4.4444,20
518,4.4444,20
519,4.4444,20
520,4.3974,20
521,4.3974,20
522,4.3218,20
523,4.3218,20
524,4.3218,20
525,4.3218,20
526,4.3218,20
527,4.3218,20
528,4.2963,20
529,4.2963,20
530,4.2963,20
531,4.2963,20
532,4.2963,20
533,4.2963,20
534,4.2963,20
535,4.2963,20
536,4.2963,20
537,4.2963,20
538,4.2963,20
539,4.2963,20
540,4.2963,20
541,4.2963,20
542,4.2963,20
543,4.2963,20
544,4.2963,20
545,4.2963,20
546,4.2963,20
547,4.2963,20
548,4.2963,20
549,4.2963,20
550,4.2963,20
551,4.2963,20
552,4.2963,20
553,4.2963,20
554,4.2963,20
555,4.2963,20
556,4.2963,20
557,4.2963,20
558,4.2963,20
559,4.2963,20
560,4.2832,20
561,4.2832,20
562,4.2832,20
563,4.2832,20
564,4.2616,20
565,4.2616,20
566,4.2616,20
567,4.2616,20
568,4.2616,20
569,4.2616,20
570,4.2616,20
571,4.2616,20
572,4.2616,20
573,4.2539,20
574,4.2539,20
575,4.2539,20
576,4.2539,20
577,4.2539,20
578,4.2539,20
579,4.2539,20
580,4.2539,20
581,4.2539,20
582,4.2539,20
583,4.2539,20
584,4.2539,20
585,4.2539,20
586,4.2539,20
587,4.2539,20
588,4.2539,20
589,4.2539,20
590,4.2539,20
591,4.2539,20
592,4.2539,20
593,4.2539,20
594,4.2539,20
595,4.2539,20
596,4.2539,20
597,4.2539,20
598,4.2539,20
599,4.2539,20
