generation,error,triangles
0,43.0918,1
1,42.1744,1
2,39.7500,3
3,38.7299,3
4,33.3750,6
5,29.0015,6
6,25.0486,12
7,23.2739,9
8,22.2963,11
9,21.9892,9
10,20.2384,8
11,19.3279,9
12,14.2855,12
13,14.2855,12
14,14.0772,14
15,14.0772,14
16,14.0772,14
17,13.8889,15
18,13.1775,23
19,12.7739,19
20,12.4421,19
21,12.4421,19
22,11.9136,19
23,11.6451,16
24,10.8318,31
25,10.5378,30
26,10.5378,30
27,10.5378,30
28,10.1582,24
29,9.5517,33
30,9.5517,33
31,9.3171,34
32,9.3171,34
33,9.3171,34
34,9.3171,34
35,9.3171,34
36,9.3171,34
37,9.3171,34
38,9.3171,34
39,9.3171,34
40,9.3171,34
41,9.0471,30
42,8.6698,29
43,8.6698,29
44,8.6698,29
45,8.6698,29
46,8.6698,29
47,8.5509,35
48,8.5509,35
49,8.5509,35
50,8.5509,35
51,8.5509,35
52,8.4012,46
53,8.4012,46
54,8.4012,46
55,8.4012,46
56,8.4012,46
57,8.3603,40
58,8.3603,40
59,8.1497,55
60,8.1497,55
61,8.0517,45
62,7.7901,51
63,7.7901,51
64,7.7901,51
65,7.7901,51
66,7.7901,51
67,7.7901,51
68,7.7901,51
69,7.7901,51
70,7.7901,51
71,7.7901,51
72,7.7901,51
73,7.6458,49
74,7.6458,49
75,7.6458,49
76,7.6458,49
77,7.6073,57
78,7.6073,57
79,7.6073,57
80,7.6073,57
81,7.6073,57
82,7.6073,57
83,7.6073,57
84,7.6073,57
85,7.6073,57
86,7.5826,56
87,7.5625,52
88,7.3364,61
89,7.3364,61
90,7.3364,61
91,7.3364,61
92,7.3364,61
93,7.3364,61
94,7.3364,61
95,7.3364,61
96,7.3364,61
97,7.3364,61
98,7.2222,55
99,7.2222,55
100,7.2222,55
101,7.2222,55
102,7.2222,55
103,7.2222,55
104,7.2222,55
105,7.2222,55
106,7.2222,55
107,7.2222,55
108,7.2222,55
109,7.2222,55
110,7.2222,55
111,7.2222,55
112,7.2222,55
113,7.2222,55
114,7.2222,55
115,7.2222,55
116,7.2222,55
117,7.2222,55
118,7.1103,63
119,7.1103,63
120,7.1103,63
121,7.0841,41
122,7.0841,41
123,7.0841,41
124,7.0841,41
125,7.0841,41
126,7.0841,41
127,7.0841,41
128,6.8596,62
129,6.8596,62
130,6.8596,62
131,6.8596,62
132,6.8596,62
133,6.5417,46
134,6.5417,46
135,6.5417,46
136,6.5417,46
137,6.5417,46
138,6.5417,46
139,6.5417,46
140,6.5417,46
141,6.5417,46
142,6.5417,46
143,6.4931,61
144,6.4931,61
145,6.4931,61
146,6.4931,61
147,6.4931,61
148,6.1713,69
149,6.1713,69
150,6.1713,69
151,6.1713,69
152,6.1713,69
153,6.1713,69
154,6.1713,69
155,6.1713,69
156,6.1713,69
157,6.1713,69
158,6.1713,69
159,6.1713,69
160,6.1713,69
161,6.1713,69
162,6.1713,69
163,6.1713,69
164,6.1713,69
165,6.1713,69
166,6.1713,69
167,6.1713,69
168,6.1713,69
169,6.1713,69
170,6.1713,69
171,6.1713,69
172,6.1713,69
173,6.1713,69
174,6.1713,69
175,6.1713,69
176,6.1713,69
177,6.1713,69
178,6.1713,69
179,6.1713,69
180,6.1713,69
181,6.1713,69
182,6.0062,68
183,6.0062,68
184,6.0062,68
185,6.0062,68
186,6.0062,68
187,5.9529,77
188,5.9529,77
189,5.9529,77
190,5.9529,77
191,5.9529,77
192,5.9529,77
193,5.9529,77
194,5.9529,77
195,5.9529,77
196,5.9529,77
197,5.9529,77
198,5.6590,65
199,5.6590,65
200,5.6590,65
201,5.6590,65
202,5.6590,65
203,5.6590,65
204,5.6590,65
205,5.6590,65
206,5.6590,65
207,5.6590,65
208,5.6590,65
209,5.6590,65
210,5.6590,65
211,5.6590,65
212,5.6590,65
213,5.6590,65
214,5.6590,65
215,5.6590,65
216,5.6590,65
217,5.6590,65
218,5.6590,65
219,5.6590,65
220,5.6590,65
221,5.6590,65
222,5.6590,65
223,5.6590,65
224,5.6590,65
225,5.5748,92
226,5.5748,92
227,5.5748,92
228,5.5748,92
229,5.5748,92
230,5.5748,92
231,5.5748,92
232,5.5748,92
