generation,error,triangles
0,1.6767,68
1,1.6759,67
2,1.6636,68
3,1.6636,68
4,1.6636,68
5,1.6636,68
6,1.6636,68
7,1.6613,67
8,1.6613,67
9,1.6613,67
10,1.6613,67
11,1.6613,67
12,1.6613,67
13,1.6613,67
14,1.6613,67
15,1.6613,67
16,1.6613,67
17,1.6613,67
18,1.6613,67
19,1.6613,67
20,1.6613,67
21,1.6613,67
22,1.6613,67
23,1.6613,67
24,1.6613,67
25,1.6597,66
26,1.6597,66
27,1.6597,66
28,1.6597,66
29,1.6597,66
30,1.6597,66
31,1.6597,66
32,1.6597,66
33,1.6597,66
34,1.6597,66
35,1.6597,66
36,1.6597,66
37,1.6597,66
38,1.6597,66
39,1.6597,66
40,1.6597,66
41,1.6597,66
42,1.6597,66
43,1.6597,66
44,1.6597,66
45,1.6597,66
46,1.6597,66
47,1.6597,66
48,1.6597,66
49,1.6597,66
50,1.6597,66
51,1.6597,66
52,1.6597,66
53,1.6597,66
54,1.6597,66
55,1.6597,66
56,1.6597,66
57,1.6597,66
58,1.6597,66
59,1.6597,66
60,1.6574,66
61,1.6574,66
62,1.6574,66
63,1.6574,66
64,1.6574,66
65,1.6574,66
66,1.6574,66
67,1.6574,66
68,1.6574,66
69,1.6574,66
70,1.6574,66
71,1.6574,66
72,1.6574,66
73,1.6574,66
74,1.6574,66
75,1.6574,66
76,1.6574,66
77,1.6574,66
78,1.6574,66
79,1.6574,66
80,1.6574,66
81,1.6574,66
82,1.6574,66
83,1.6574,66
84,1.6574,66
85,1.6574,66
86,1.6574,66
87,1.6574,66
88,1.6574,66
89,1.6574,66
90,1.6559,66
91,1.6559,66
92,1.6559,66
93,1.6559,66
94,1.6559,66
95,1.6543,66
96,1.6543,66
97,1.6543,66
98,1.6543,66
99,1.6543,66
100,1.6543,66
101,1.6543,66
102,1.6543,66
103,1.6535,66
104,1.6535,66
105,1.6535,66
106,1.6512,66
107,1.6512,66
108,1.6512,66
109,1.6512,66
110,1.6512,66
111,1.6512,66
112,1.6512,66
113,1.6512,66
114,1.6512,66
115,1.6512,66
116,1.6512,66
117,1.6512,66
118,1.6512,66
119,1.6512,66
120,1.6512,66
121,1.6512,66
122,1.6512,66
123,1.6489,66
124,1.6489,66
125,1.6489,66
126,1.6489,66
127,1.6489,66
128,1.6489,66
129,1.6489,66
130,1.6489,66
131,1.6489,66
132,1.6489,66
133,1.6489,66
134,1.6489,66
135,1.6489,66
136,1.6489,66
137,1.6489,66
138,1.6489,66
139,1.6489,66
140,1.6489,66
141,1.6489,66
142,1.6489,66
143,1.6489,66
144,1.6489,66
145,1.6489,66
146,1.6489,66
147,1.6489,66
148,1.6489,66
149,1.6489,66
150,1.6489,66
151,1.6489,66
152,1.6489,66
153,1.6489,66
154,1.6489,66
155,1.6489,66
156,1.6427,66
157,1.6427,66
158,1.6427,66
159,1.6427,66
160,1.6427,66
161,1.6427,66
162,1.6427,66
163,1.6427,66
164,1.6427,66
165,1.6427,66
166,1.6427,66
167,1.6427,66
168,1.6427,66
169,1.6427,66
170,1.6427,66
171,1.6427,66
172,1.6427,66
173,1.6427,66
174,1.6427,66
175,1.6427,66
176,1.6427,66
177,1.6427,66
178,1.6427,66
179,1.6427,66
180,1.6427,66
181,1.6427,66
182,1.6427,66
183,1.6427,66
184,1.6427,66
185,1.6427,66
186,1.6427,66
187,1.6427,66
188,1.6427,66
189,1.6427,66
190,1.6427,66
191,1.6427,66
192,1.6427,66
193,1.6427,66
194,1.6427,66
195,1.6427,66
196,1.6427,66
197,1.6427,66
198,1.6427,66
199,1.6427,66
200,1.6427,66
201,1.6427,66
202,1.6427,66
203,1.6427,66
204,1.6427,66
205,1.6427,66
206,1.6427,66
207,1.6427,66
208,1.6427,66
209,1.6427,66
210,1.6427,66
211,1.6427,66
212,1.6427,66
213,1.6427,66
214,1.6427,66
215,1.6420,67
216,1.6420,67
217,1.6420,67
218,1.6420,67
219,1.6420,67
220,1.6420,67
221,1.6420,67
222,1.6420,67
223,1.6420,67
224,1.6420,67
225,1.6420,67
226,1.6420,67
227,1.6420,67
228,1.6420,67
229,1.6420,67
230,1.6420,67
231,1.6420,67
232,1.6420,67
233,1.6420,67
234,1.6420,67
235,1.6420,67
236,1.6420,67
237,1.6412,67
238,1.6412,67
239,1.6412,67
240,1.6412,67
241,1.6412,67
242,1.6412,67
243,1.6412,67
244,1.6412,67
245,1.6412,67
246,1.6412,67
247,1.6412,67
248,1.6412,67
249,1.6412,67
250,1.6412,67
251,1.6289,67
252,1.6289,67
253,1.6289,67
254,1.6289,67
255,1.6289,67
256,1.6289,67
257,1.6289,67
258,1.6289,67
259,1.6289,67
260,1.6289,67
261,1.6289,67
262,1.6289,67
263,1.6289,67
264,1.6289,67
265,1.6289,67
266,1.6289,67
267,1.6289,67
268,1.6289,67
269,1.6289,67
270,1.6289,67
271,1.6289,67
272,1.6289,67
273,1.6289,67
274,1.6289,67
275,1.6289,67
276,1.6273,66
277,1.6273,66
278,1.6273,66
279,1.6273,66
280,1.6273,66
281,1.6265,66
282,1.6265,66
283,1.6265,66
284,1.6265,66
285,1.6265,66
286,1.6265,66
287,1.6265,66
288,1.6265,66
289,1.6265,66
290,1.6265,66
291,1.6265,66
292,1.6265,66
293,1.6265,66
294,1.6265,66
295,1.6265,66
296,1.6265,66
297,1.6265,66
298,1.6265,66
299,1.6265,66
300,1.6265,66
301,1.6265,66
302,1.6265,66
303,1.6265,66
304,1.6265,66
305,1.6265,66
306,1.6265,66
307,1.6265,66
308,1.6265,66
309,1.6265,66
310,1.6242,66
311,1.6242,66
312,1.6242,66
313,1.6242,66
314,1.6242,66
315,1.6242,66
316,1.6242,66
317,1.6242,66
318,1.6242,66
