
=== Running k_max = 5 ===
  [kmax=40] Gen  100  error= 21.34%  triangles= 38
  [kmax=40] Gen  150  error= 18.77%  triangles= 40
  [kmax=40] Gen  200  error= 18.11%  triangles= 32
  [kmax=40] Gen  250  error= 18.14%  triangles= 39
  [kmax=40] Gen  300  error= 18.31%  triangles= 37
  [kmax=40] Gen  350  error= 17.79%  triangles= 40
  [kmax=40] Gen  400  error= 17.75%  triangles= 40
  [kmax=40] Gen  450  error= 18.25%  triangles= 37
  [kmax=40] Gen  500  error= 14.84%  triangles= 40
  [kmax=40] Gen  550  error= 15.15%  triangles= 40
  [kmax=40] Gen  600  error= 16.22%  triangles= 40
  [kmax=40] Gen  650  error= 15.77%  triangles= 39
  [kmax=40] Gen  700  error= 15.40%  triangles= 40
  [kmax=40] Gen  750  error= 15.37%  triangles= 40
  [kmax=40] Gen  800  error= 14.83%  triangles= 40
  [kmax=40] Gen  850  error= 15.78%  triangles= 40
  [kmax=40] Gen  900  error= 15.01%  triangles= 33
  [kmax=40] Gen  950  error= 15.84%  triangles= 34
  [kmax=40] Gen  999  error= 14.66%  triangles= 35

=== Running k_max = 50 ===
  [kmax=50] Gen    0  error= 54.46%  triangles=  2
  [kmax=50] Gen   50  error= 20.49%  triangles= 48
  [kmax=50] Gen  100  error= 19.53%  triangles= 50
  [kmax=50] Gen  150  error= 17.96%  triangles= 47
  [kmax=50] Gen  200  error= 17.25%  triangles= 35
  [kmax=50] Gen  250  error= 16.67%  triangles= 50
  [kmax=50] Gen  300  error= 16.55%  triangles= 42
  [kmax=50] Gen  350  error= 16.32%  triangles= 37
  [kmax=50] Gen  400  error= 16.53%  triangles= 50
  [kmax=50] Gen  450  error= 17.20%  triangles= 41
  [kmax=50] Gen  500  error= 15.64%  triangles= 50
  [kmax=50] Gen  550  error= 15.80%  triangles= 44
  [kmax=50] Gen  600  error= 16.27%  triangles= 49
  [kmax=50] Gen  650  error= 15.96%  triangles= 50
  [kmax=50] Gen  700  error= 15.78%  triangles= 50
  [kmax=50] Gen  750  error= 16.06%  triangles= 50
  [kmax=50] Gen  800  error= 15.78%  triangles= 48
  [kmax=50] Gen  850  error= 14.78%  triangles= 50
  [kmax=50] Gen  900  error= 16.02%  triangles= 48
  [kmax=50] Gen  950  error= 16.13%  triangles= 50
  [kmax=50] Gen  999  error= 15.19%  triangles= 39

=== Running k_max = 60 ===
  [kmax=60] Gen    0  error= 56.56%  triangles=  2
  [kmax=60] Gen   50  error= 25.16%  triangles= 55
  [kmax=60] Gen  100  error= 22.60%  triangles= 56
  [kmax=60] Gen  150  error= 21.89%  triangles= 60
  [kmax=60] Gen  200  error= 21.11%  triangles= 60
  [kmax=60] Gen  250  error= 18.02%  triangles= 59
  [kmax=60] Gen  300  error= 17.99%  triangles= 52
  [kmax=60] Gen  350  error= 18.00%  triangles= 60
  [kmax=60] Gen  400  error= 18.10%  triangles= 57
  [kmax=60] Gen  450  error= 19.27%  triangles= 50
  [kmax=60] Gen  500  error= 19.26%  triangles= 60
  [kmax=60] Gen  550  error= 18.43%  triangles= 59
  [kmax=60] Gen  600  error= 19.17%  triangles= 59
  [kmax=60] Gen  650  error= 17.22%  triangles= 60
  [kmax=60] Gen  700  error= 17.50%  triangles= 60
  [kmax=60] Gen  750  error= 17.13%  triangles= 60
  [kmax=60] Gen  800  error= 17.15%  triangles= 56
