generation,error,triangles
0,41.5085,1
1,39.6265,2
2,32.3148,9
3,27.7608,5
4,21.8511,7
5,17.3256,6
6,16.9074,9
7,14.8711,10
8,13.8387,13
9,12.8557,12
10,11.7508,14
11,10.6667,16
12,10.6667,16
13,10.6667,16
14,10.1806,19
15,9.8256,26
16,9.6011,28
17,9.2400,24
18,9.2400,24
19,8.8557,25
20,8.8557,25
21,8.7994,33
22,8.4722,33
23,8.3519,28
24,8.2894,43
25,8.0023,31
26,7.8588,32
27,7.8588,32
28,7.2554,34
29,7.0910,34
30,7.0910,34
31,7.0910,34
32,7.0910,34
33,7.0910,34
34,7.0903,34
35,6.9321,41
36,6.9228,34
37,6.8881,50
38,6.8881,50
39,6.7469,48
40,6.5972,48
41,6.5972,48
42,6.5972,48
43,6.2631,46
44,6.1188,48
45,6.1103,48
46,6.1103,48
47,6.1103,48
48,6.1103,48
49,6.1103,48
50,6.1103,48
51,6.1103,48
52,6.1103,48
53,6.1034,50
54,6.1034,50
55,6.1034,50
56,5.9684,50
57,5.8002,50
58,5.8002,50
59,5.7785,50
60,5.7785,50
61,5.7616,47
62,5.7616,47
63,5.7616,47
64,5.7616,47
65,5.7616,47
66,5.7616,47
67,5.7616,47
68,5.7616,47
69,5.7400,50
70,5.6952,50
71,5.6952,50
72,5.6952,50
73,5.6952,50
74,5.6952,50
75,5.5069,50
76,5.5069,50
77,5.5039,50
78,5.5039,50
79,5.5039,50
80,5.4861,50
81,5.4838,49
82,5.4838,49
83,5.4290,50
84,5.4290,50
85,5.4012,39
86,5.4012,39
87,5.4012,39
88,5.4012,39
89,5.4012,39
90,5.4012,39
91,5.4012,39
92,5.4012,39
93,5.4012,39
94,5.4012,39
95,5.3596,47
96,5.2230,49
97,5.2130,49
98,5.2130,49
99,5.2130,49
100,5.2130,49
101,5.2130,49
102,5.2130,49
103,5.2130,49
104,5.2130,49
105,5.2130,49
106,5.1906,50
107,5.1906,50
108,5.1906,50
109,5.1674,50
110,5.1674,50
111,5.1674,50
112,5.1389,50
113,4.9977,49
114,4.9977,49
115,4.9977,49
116,4.9977,49
117,4.9977,49
118,4.9977,49
119,4.9977,49
120,4.9977,49
121,4.9861,48
122,4.9861,48
123,4.9861,48
124,4.9861,48
125,4.9861,48
126,4.9861,48
127,4.9861,48
128,4.9861,48
129,4.9861,48
130,4.9861,48
131,4.9861,48
132,4.9861,48
133,4.9861,48
134,4.9861,48
135,4.9722,48
136,4.9722,48
137,4.9722,48
138,4.9691,45
139,4.9691,45
140,4.9691,45
141,4.9691,45
142,4.9691,45
143,4.8719,45
144,4.8719,45
145,4.8719,45
146,4.8642,50
147,4.8642,50
148,4.8519,50
149,4.8519,50
150,4.8519,50
151,4.8519,50
152,4.8519,50
153,4.8519,50
154,4.8395,49
155,4.8310,44
156,4.8310,44
157,4.8310,44
158,4.8310,44
159,4.8310,44
160,4.8310,44
161,4.7531,50
162,4.7531,50
163,4.7531,50
164,4.7531,50
165,4.7461,50
166,4.7461,50
167,4.7461,50
168,4.7461,50
169,4.7461,50
170,4.7461,50
171,4.7461,50
172,4.7315,48
173,4.7160,45
174,4.7160,45
175,4.7160,45
176,4.6806,45
177,4.6806,45
178,4.6474,45
179,4.6474,45
180,4.6474,45
181,4.6474,45
182,4.6474,45
183,4.6474,45
184,4.6474,45
185,4.6474,45
186,4.6474,45
187,4.6474,45
188,4.6474,45
189,4.6474,45
190,4.6474,45
191,4.6474,45
192,4.6227,47
193,4.6227,47
194,4.6227,47
195,4.6227,47
196,4.6227,47
197,4.6227,47
198,4.6227,47
199,4.6227,47
200,4.6227,47
201,4.6227,47
202,4.6227,47
203,4.6227,47
204,4.6227,47
205,4.6227,47
206,4.6227,47
207,4.6188,47
208,4.6188,47
209,4.6188,47
210,4.6188,47
211,4.6188,47
212,4.6188,47
213,4.5926,44
214,4.5926,44
215,4.5864,44
216,4.5864,44
217,4.5864,44
218,4.5864,44
219,4.5864,44
220,4.5864,44
221,4.5864,44
222,4.5864,44
223,4.5864,44
224,4.5864,44
225,4.5864,44
226,4.5864,44
227,4.5864,44
228,4.5864,44
229,4.5864,44
230,4.5864,44
231,4.5864,44
232,4.5864,44
233,4.5864,44
234,4.5864,44
235,4.5424,50
236,4.5424,50
237,4.5424,50
238,4.5424,50
239,4.5424,50
240,4.5424,50
241,4.5424,50
242,4.5424,50
243,4.5424,50
244,4.5424,50
245,4.5424,50
246,4.5424,50
247,4.5154,50
248,4.5154,50
249,4.5154,50
250,4.5154,50
251,4.5154,50
252,4.5154,50
253,4.5154,50
254,4.5131,50
255,4.5131,50
256,4.5131,50
257,4.5131,50
258,4.5131,50
259,4.5131,50
260,4.5123,50
261,4.5123,50
262,4.5123,50
263,4.5123,50
264,4.5108,49
265,4.4128,49
266,4.4128,49
267,4.4128,49
268,4.4128,49
269,4.4128,49
270,4.4128,49
271,4.4128,49
272,4.4128,49
273,4.4128,49
274,4.4128,49
275,4.4128,49
276,4.4128,49
277,4.4105,49
278,4.4051,49
279,4.4051,49
280,4.4051,49
281,4.2793,48
282,4.2793,48
283,4.2793,48
284,4.2793,48
285,4.2793,48
286,4.2793,48
287,4.2793,48
288,4.2793,48
289,4.2793,48
290,4.2793,48
291,4.2793,48
292,4.2793,48
293,4.2793,48
294,4.2793,48
295,4.2793,48
296,4.2793,48
297,4.2793,48
298,4.2793,48
299,4.2793,48
300,4.2793,48
301,4.2793,48
302,4.2793,48
303,4.2793,48
304,4.2793,48
305,4.2793,48
306,4.2785,48
307,4.2785,48
308,4.2785,48
309,4.2785,48
310,4.2785,48
311,4.2785,48
312,4.2785,48
313,4.1991,43
314,4.1991,43
315,4.1991,43
316,4.1991,43
317,4.1991,43
318,4.1775,42
319,4.1775,42
320,4.1775,42
321,4.1775,42
322,4.1775,42
323,4.1775,42
324,4.1775,42
325,4.1775,42
326,4.1775,42
327,4.1775,42
328,4.1775,42
329,4.1775,42
330,4.1775,42
331,4.1775,42
332,4.1775,42
333,4.1775,42
334,4.1775,42
335,4.1775,42
336,4.1775,42
337,4.1775,42
338,4.1551,42
339,4.1551,42
340,4.1551,42
341,4.1551,42
342,4.1551,42
343,4.1551,42
344,4.1551,42
345,4.1551,42
346,4.1551,42
347,4.1551,42
348,4.1551,42
349,4.1551,42
350,4.1551,42
351,4.1551,42
352,4.1551,42
353,4.1551,42
354,4.1551,42
355,4.1551,42
356,4.1551,42
357,4.1551,42
358,4.1551,42
359,4.1551,42
360,4.1551,42
361,4.1551,42
362,4.1551,42
363,4.1551,42
364,4.1535,42
365,4.1535,42
366,4.1489,43
367,4.1489,43
368,4.1489,43
369,4.1489,43
370,4.1489,43
371,4.1489,43
372,4.1489,43
373,4.1489,43
374,4.1489,43
375,4.1489,43
376,4.1489,43
377,4.1489,43
378,4.1489,43
379,4.1489,43
380,4.1489,43
381,4.1489,43
382,4.1489,43
383,4.1489,43
384,4.1489,43
385,4.1489,43
386,4.1489,43
387,4.1489,43
388,4.1489,43
389,4.1489,43
390,4.1489,43
391,4.1211,50
392,4.1211,50
393,4.1211,50
394,4.1211,50
395,4.1049,50
396,4.1049,50
397,4.1049,50
398,4.1049,50
399,4.1049,50
400,4.1049,50
401,4.1049,50
402,4.0795,50
403,4.0795,50
404,4.0679,50
405,4.0679,50
406,4.0679,50
407,4.0679,50
408,4.0679,50
409,4.0679,50
410,4.0633,49
411,4.0517,49
412,4.0517,49
413,4.0517,49
414,4.0517,49
415,4.0517,49
416,4.0517,49
417,4.0517,49
418,4.0517,49
419,4.0517,49
420,4.0517,49
421,4.0517,49
422,4.0517,49
423,4.0517,49
424,4.0517,49
425,4.0517,49
426,4.0517,49
427,4.0517,49
428,4.0517,49
429,4.0517,49
430,4.0517,49
431,4.0517,49
432,4.0517,49
433,4.0517,49
434,4.0517,49
435,4.0517,49
436,4.0517,49
437,4.0517,49
438,4.0517,49
439,4.0517,49
440,4.0517,49
441,4.0517,49
442,4.0517,49
443,4.0517,49
444,4.0517,49
445,4.0517,49
446,4.0517,49
447,4.0517,49
448,4.0517,49
449,4.0494,48
450,4.0494,48
451,4.0494,48
452,4.0139,42
453,4.0139,42
454,4.0139,42
455,4.0139,42
456,4.0139,42
457,3.9437,49
458,3.9437,49
459,3.9437,49
460,3.9437,49
461,3.9437,49
462,3.9437,49
463,3.9437,49
464,3.9437,49
465,3.9437,49
466,3.9437,49
467,3.8573,50
468,3.8573,50
469,3.7006,50
470,3.7006,50
471,3.7006,50
472,3.7006,50
473,3.6698,48
474,3.6698,48
475,3.6698,48
476,3.6698,48
477,3.6698,48
478,3.6698,48
479,3.6698,48
480,3.6698,48
481,3.6698,48
482,3.6644,48
483,3.6644,48
484,3.6644,48
485,3.5201,45
486,3.5201,45
487,3.5108,45
488,3.5108,45
489,3.5108,45
490,3.5108,45
491,3.5108,45
492,3.4699,45
493,3.4699,45
494,3.4691,45
495,3.4691,45
496,3.4691,45
497,3.4691,45
498,3.4691,45
499,3.4691,45
500,3.4691,45
501,3.4691,45
502,3.4691,45
503,3.4691,45
504,3.4691,45
505,3.4691,45
506,3.4691,45
507,3.4691,45
508,3.4691,45
509,3.4691,45
510,3.4691,45
511,3.4691,45
512,3.4691,45
513,3.4691,45
514,3.4691,45
515,3.4691,45
516,3.4483,46
517,3.4468,46
518,3.4468,46
519,3.4468,46
520,3.4468,46
521,3.4468,46
522,3.4468,46
523,3.4468,46
524,3.4468,46
525,3.4468,46
526,3.4244,46
527,3.4244,46
528,3.4228,46
529,3.4228,46
530,3.4228,46
531,3.4228,46
532,3.4228,46
533,3.4228,46
534,3.4228,46
535,3.4228,46
536,3.4228,46
537,3.4228,46
538,3.4228,46
539,3.4228,46
540,3.4228,46
541,3.4228,46
542,3.4228,46
543,3.4228,46
544,3.4151,46
545,3.4151,46
546,3.4151,46
547,3.4151,46
548,3.4151,46
549,3.4151,46
550,3.4151,46
551,3.4120,46
552,3.4090,46
553,3.4090,46
554,3.4090,46
555,3.4090,46
556,3.4090,46
557,3.4005,45
558,3.4005,45
559,3.4005,45
560,3.4005,45
561,3.4005,45
562,3.4005,45
563,3.3951,45
564,3.3951,45
565,3.3951,45
566,3.3951,45
567,3.3951,45
568,3.3951,45
569,3.3951,45
570,3.3951,45
571,3.3951,45
572,3.3951,45
573,3.3951,45
574,3.3951,45
575,3.3951,45
576,3.3951,45
577,3.3943,45
578,3.3943,45
579,3.3943,45
580,3.3943,45
581,3.3943,45
582,3.3796,45
583,3.3796,45
584,3.3796,45
585,3.3796,45
586,3.3796,45
587,3.3796,45
588,3.3796,45
589,3.3796,45
590,3.3796,45
591,3.3796,45
592,3.3796,45
593,3.3796,45
594,3.3349,45
595,3.3349,45
596,3.3302,45
597,3.3302,45
598,3.3302,45
599,3.3302,45
600,3.3302,45
601,3.3302,45
602,3.3302,45
603,3.3279,45
604,3.3279,45
605,3.3279,45
606,3.3279,45
607,3.3279,45
608,3.3279,45
609,3.3279,45
610,3.3279,45
611,3.3279,45
612,3.3279,45
613,3.3279,45
614,3.3279,45
615,3.3279,45
616,3.3279,45
617,3.3279,45
618,3.3279,45
619,3.3279,45
620,3.3279,45
621,3.3279,45
622,3.3279,45
623,3.3279,45
624,3.3279,45
625,3.3148,45
626,3.3148,45
627,3.3148,45
628,3.3148,45
629,3.3148,45
630,3.3148,45
631,3.3148,45
632,3.3148,45
633,3.3148,45
634,3.3148,45
635,3.3040,45
636,3.3040,45
637,3.3040,45
638,3.3040,45
639,3.3040,45
640,3.3040,45
641,3.3040,45
642,3.3040,45
643,3.3040,45
644,3.2932,45
645,3.2932,45
646,3.2932,45
647,3.2932,45
648,3.2932,45
649,3.2932,45
650,3.2932,45
651,3.2932,45
652,3.2870,44
653,3.2870,44
654,3.2870,44
655,3.2870,44
656,3.2870,44
657,3.2870,44
658,3.2870,44
659,3.2870,44
660,3.2870,44
661,3.2870,44
662,3.2870,44
663,3.2870,44
664,3.2870,44
665,3.2870,44
666,3.2870,44
667,3.2870,44
668,3.2870,44
669,3.2870,44
670,3.2870,44
671,3.2870,44
672,3.2863,44
673,3.2863,44
674,3.2863,44
675,3.2863,44
676,3.2863,44
677,3.2855,44
678,3.2747,44
679,3.2747,44
680,3.2747,44
681,3.2747,44
682,3.2747,44
683,3.2747,44
684,3.2747,44
685,3.2747,44
